BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMN33606353,SRS16970749,GCA_035864965.1,2021.0,AUS,Homo sapiens,,,AUSMDU00057180,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606929,SRS16969731,GCA_035866785.1,2021.0,AUS,Homo sapiens,,,AUSMDU00066847,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33607030,SRS16969746,GCA_035867105.1,2019.0,AUS,Homo sapiens,,,AUSMDU00032819,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606592,SRS16969762,GCA_035867405.1,2018.0,AUS,Homo sapiens,,,AUSMDU00020330,,,,,Streptococcus,Streptococcus pneumoniae,37823632.0,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606834,SRS16969784,GCA_035868375.1,2019.0,AUS,Homo sapiens,,,AUSMDU00028551,,,,,Streptococcus,Streptococcus pneumoniae,37823632,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606939,SRS16969806,GCA_035868795.1,2019.0,AUS,Homo sapiens,,,AUSMDU00030953,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606594,SRS16969826,GCA_035869255.1,2019.0,AUS,Homo sapiens,,,AUSMDU00036303,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606597,SRS16969832,GCA_035869335.1,2019.0,AUS,Homo sapiens,,,AUSMDU00036360,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606666,SRS16969383,GCA_035870335.1,2019.0,AUS,Homo sapiens,,,AUSMDU00034728,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606682,SRS16969398,GCA_035870815.1,2019.0,AUS,Homo sapiens,,,AUSMDU00037390,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606686,SRS16969402,GCA_035870875.1,2018.0,AUS,Homo sapiens,,,AUSMDU00037297,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606558,SRS16969486,GCA_035873095.1,2020.0,AUS,Homo sapiens,,,AUSMDU00040433,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606759,SRS16969519,GCA_035873635.1,2020.0,AUS,Homo sapiens,,,AUSMDU00054403,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606871,SRS16969551,GCA_035874235.1,2020.0,AUS,Homo sapiens,,,AUSMDU00040335,,,,,Streptococcus,Streptococcus pneumoniae,37823632,resistant,resistant,no,PATRIC,tetracycline,CLSI,broth dilution,8.0,>,mg/L,Sensititre,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
SAMN33606544,SRS16969650,GCA_035877275.1,2019.0,AUS,Homo sapiens,,,AUSMDU00027523,,,,,Streptococcus,Streptococcus pneumoniae,37823632,susceptible,,,PATRIC,tetracycline,CLSI,broth dilution,1.0,<=,mg/L,Sensititre,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Australia,Oceania,Australia and New Zealand
