BioSample_ID,SRA_accession,assembly_ID,collection_year,ISO_country_code,host,host_age,host_sex,isolate,isolation_source,isolation_source_category,isolation_latitude,isolation_longitude,genus,organism,AMR_associated_publications,Updated_phenotype_CLSI,Updated_phenotype_EUCAST,used_ECOFF,database,antibiotic_name,ast_standard,laboratory_typing_method,measurement,measurement_sign,measurement_units,platform,resistance_phenotype,species,antibiotic_ontology,antibiotic_ontology_link,country,geographical_region,geographical_subregion
SAMEA2145401,ERS322342,GCA_901227805.1,1999.0,USA,Homo sapiens,,,11822_1#32,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521782,ERS455322,GCA_901227815.1,2012.0,USA,Homo sapiens,,,13353_7#41,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,0.25,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521734,ERS455274,GCA_901227935.1,2012.0,USA,Homo sapiens,,,13710_2#51,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,0.25,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2658442,ERS508470,GCA_901228565.1,2006.0,ZAF,Homo sapiens,,male,14555_3#65,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,12.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2434695,ERS428872,GCA_901228675.1,2006.0,ZAF,Homo sapiens,,female,12837_4#19,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,16.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2066651,ERS242909,GCA_901229795.1,2010.0,TGO,Homo sapiens,,male,10395_5#25,cerebrospinal fluid,central nervous system,8.61954,0.824782,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,disk diffusion,22.0,==,mm,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Togo,Africa,Sub-Saharan Africa
SAMEA2814282,ERS566650,GCA_901230075.1,2013.0,ZAF,Homo sapiens,,male,14913_7#72,csf & blood,,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2434704,ERS428881,GCA_901230175.1,2006.0,ZAF,Homo sapiens,,female,12837_4#28,csf + blood,,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,24.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2521803,ERS455343,GCA_901230225.1,2012.0,USA,Homo sapiens,,,13353_7#62,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,0.25,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521853,ERS455393,GCA_901231145.1,2000.0,USA,Homo sapiens,,,13710_2#66,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2658842,ERS508870,GCA_901231925.1,2010.0,ZAF,Homo sapiens,,male,14412_2#4,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814293,ERS566661,GCA_901232475.1,2011.0,ZAF,Homo sapiens,,female,14913_7#83,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3354081,ERS708436,GCA_901232725.1,2014.0,ZAF,Homo sapiens,,female,17175_7#90,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3175862,ERS628810,GCA_901233985.1,2014.0,SVN,Homo sapiens,,female,15608_4#16,blood,blood,46.1512,14.9955,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,16.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Slovenia,Europe,Southern Europe
SAMEA2658967,ERS508995,GCA_901234025.1,2011.0,ZAF,Homo sapiens,,male,14893_8#3,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2336070,ERS394264,GCA_901234355.1,2009.0,USA,Homo sapiens,,,12291_5#48,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2336077,ERS394271,GCA_901235165.1,2009.0,USA,Homo sapiens,,,12291_5#55,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2336078,ERS394272,GCA_901235335.1,2009.0,USA,Homo sapiens,,,12291_5#56,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2521460,ERS455000,GCA_901235415.1,2009.0,USA,Homo sapiens,,,13414_1#10,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2659122,ERS509150,GCA_901235755.1,2010.0,ZAF,Homo sapiens,,male,14412_2#23,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814309,ERS566677,GCA_901235945.1,2013.0,ZAF,Homo sapiens,,female,14936_4#4,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2336086,ERS394280,GCA_901236435.1,2009.0,USA,Homo sapiens,,,12291_5#64,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2659129,ERS509157,GCA_901236915.1,2010.0,ZAF,Homo sapiens,,female,14412_2#29,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2521473,ERS455013,GCA_901237405.1,2009.0,USA,Homo sapiens,,,13414_1#23,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2813998,ERS566366,GCA_901237515.1,2011.0,ZAF,Homo sapiens,,male,14913_2#13,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3175875,ERS628823,GCA_901237585.1,2014.0,SVN,Homo sapiens,,male,15608_4#29,blood,blood,46.1512,14.9955,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,E-test,0.125,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,Slovenia,Europe,Southern Europe
SAMEA2521476,ERS455016,GCA_901237755.1,2009.0,USA,Homo sapiens,,,13414_1#26,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2554050,ERS464551,GCA_901238365.1,2009.0,ZAF,Homo sapiens,,male,13415_6#35,csf & blood,,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658849,ERS508877,GCA_901238505.1,2010.0,ZAF,Homo sapiens,,male,14412_2#37,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2521481,ERS455021,GCA_901238635.1,2009.0,USA,Homo sapiens,,,13414_1#31,blood,blood,37.0902,-95.7129,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,United States of America,Americas,Northern America
SAMEA2658948,ERS508976,GCA_901239145.1,2011.0,ZAF,Homo sapiens,,male,14555_4#17,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658954,ERS508982,GCA_901239795.1,2011.0,ZAF,Homo sapiens,,male,14555_4#20,pleural fluid,internal organs and fluids,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658861,ERS508889,GCA_901240615.1,2010.0,ZAF,Homo sapiens,,male,14412_2#49,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814331,ERS566699,GCA_901240825.1,2013.0,ZAF,Homo sapiens,,female,14936_4#26,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814333,ERS566701,GCA_901241365.1,2013.0,ZAF,Homo sapiens,,male,14936_4#28,pus,skin or soft tissue,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3354017,ERS708372,GCA_901241395.1,2014.0,ZAF,Homo sapiens,,male,17175_8#61,knee fluid,musculoskeletal system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814335,ERS566703,GCA_901241845.1,2013.0,ZAF,Homo sapiens,,male,14936_4#30,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658869,ERS508897,GCA_901242105.1,2010.0,ZAF,Homo sapiens,,male,14412_2#57,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658979,ERS509007,GCA_901242555.1,2011.0,ZAF,Homo sapiens,,male,14555_4#32,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2298207,ERS390665,GCA_901243605.1,2012.0,ZAF,Homo sapiens,,male,12291_6#25,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658991,ERS509019,GCA_901243705.1,2011.0,ZAF,Homo sapiens,,male,14555_4#38,pleural fluid,internal organs and fluids,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3354054,ERS708409,GCA_901244275.1,2014.0,ZAF,Homo sapiens,,female,17175_8#80,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658880,ERS508908,GCA_901244355.1,2010.0,ZAF,Homo sapiens,,male,14412_2#68,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3354056,ERS708411,GCA_901244385.1,2014.0,ZAF,Homo sapiens,,male,17175_8#81,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2659008,ERS509036,GCA_901244965.1,2011.0,ZAF,Homo sapiens,,female,14555_4#46,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658886,ERS508914,GCA_901245345.1,2010.0,ZAF,Homo sapiens,,male,14412_2#74,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2434802,ERS428979,GCA_901246025.1,2005.0,ZAF,Homo sapiens,,female,12837_5#38,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,E-test,32.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2659020,ERS509048,GCA_901246185.1,2011.0,ZAF,Homo sapiens,,male,14555_4#52,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA3353889,ERS708244,GCA_901246195.1,2014.0,ZAF,Homo sapiens,,female,17150_5#88,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,susceptible,susceptible,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,1.0,==,mg/L,,susceptible,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2814117,ERS566485,GCA_901246725.1,2009.0,ZAF,Homo sapiens,,male,14913_2#59,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,resistant,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,8.0,==,mg/L,,resistant,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2659030,ERS509058,GCA_901247115.1,2011.0,ZAF,Homo sapiens,,male,14555_4#57,csf & blood,,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2658904,ERS508932,GCA_901247385.1,2010.0,ZAF,Homo sapiens,,female,14412_2#86,csf,central nervous system,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
SAMEA2659036,ERS509064,GCA_901247715.1,2011.0,ZAF,Homo sapiens,,male,14555_4#60,blood,blood,-30.5595,22.9375,Streptococcus,Streptococcus pneumoniae,31003929,intermediate,resistant,no,PATRIC;microreact,tetracycline,CLSI,broth dilution,2.0,==,mg/L,,intermediate,Streptococcus pneumoniae,ARO_0000051,https://www.ebi.ac.uk/ols4/ontologies/aro/classes/http%253A%252F%252Fpurl.obolibrary.org%252Fobo%252FARO_0000051,South Africa,Africa,Sub-Saharan Africa
